,index,RUC,nombreComercial,direccion,distrito,provincia,departamento,n_trabajadores,tamano_empresa
10143,13835,15217834632,,"Psje. Borja 135, Urb. Elio ",Cercado,Lima,Lima,37,Mediana Empresa/Medium Size Company
10144,13836,20296944867,,Jr. Carlos Alayza y Roel 2626,Lince,Lima,Lima,267,Mediana Empresa/Medium Size Company
10145,13837,20536615998,,"Av. Michael Faraday 693, Urb. Santa Rosa",Ate,Lima,Lima,0,Pequeña Empresa/Small Size Company
10146,13838,20384273930,LEGIS PERU S.A.,"Jr. Gral. Lus Sánchez Cerro 1859, Piso 2",Jesús María,Lima,Lima,0,No disponible/Notavailable
10147,13839,20101247512,LOS 3 CHANCHITOS,"Esq. El Sauce y Calle 11, Tienda 8, Urb. Los Sauces",La Molina,Lima,Lima,17,Mediana Empresa/Medium Size Company
10148,13840,20506296430,,"Av. José Larco 930, Of. 601",Miraflores,Lima,Lima,0,Mediana Empresa/Medium Size Company
10149,13841,20600010311,,"Calle Rodolfo Beltrán 182, Piso 2, Urb. Santa Catalina",La Victoria,Lima,Lima,52,Mediana Empresa/Medium Size Company
10150,13842,10081879040,FERRETERIA LEIVA,"Mz. B, Lote 3, Asociación El Cercado",San Juan de Lurigancho,Lima,Lima,0,Pequeña Empresa/Small Size Company
10151,13843,20100344000,,Calle Tejada 357,Barranco,Lima,Lima,16,Mediana Empresa/Medium Size Company
10152,13844,20349264413,LELYCOR S.A.C.,"Psje. Los Pinos 190, Piso 16",Miraflores,Lima,Lima,505,Mediana Empresa/Medium Size Company
10153,13845,20511730075,,Av. Oscar R. Benavides 648,Cercado,Lima,Lima,0,Mediana Empresa/Medium Size Company
10154,13846,20392791931,,"Av. Javier Prado Oeste 339, Urb. Primavera",Magdalena del Mar,Lima,Lima,0,Pequeña Empresa/Small Size Company
10155,13847,20392787314,,Calle Coronel Andrés Reyes 518,San Isidro,Lima,Lima,32,Mediana Empresa/Medium Size Company
10156,13848,20298841615,,Av. Petit Thouars 5550,Miraflores,Lima,Lima,0,Mediana Empresa/Medium Size Company
10157,13849,20502141768,,"Calle General Murillo 234, Urb. La Campiña",Chorrillos,Lima,Lima,0,Mediana Empresa/Medium Size Company
10158,13850,20511063184,,"Calle Dionisio Derteano 144, Piso 16 Torre Roche",San Isidro,Lima,Lima,65,Gran Empresa/Big Company
10159,13851,20508364289,,Av. San Luis 2856,San Borja,Lima,Lima,0,Mediana Empresa/Medium Size Company
10160,13853,20301409151,,"Av. El Derby 254, Of. 301",Santiago de Surco,Lima,Lima,236,Gran Empresa/Big Company
10161,13854,20512410619,,"Mz. A, Lote 9, Asoc. Los Jardines",Santa Anita,Lima,Lima,0,Mediana Empresa/Medium Size Company
10162,13855,20231327615,LEOCAR EIRL,"Calle Los Geranios 142, Urb. Valdivieso",Ate,Lima,Lima,9,Mediana Empresa/Medium Size Company
10163,13856,10077477514,,"S/N, Of. 101, Edificio 3, Condominio Boulevard Aire, Etapa V",San Luis,Lima,Lima,0,Pequeña Empresa/Small Size Company
10164,13857,10082396271,,Calle José Del Llano Zapata 186,San Isidro,Lima,Lima,0,No disponible/Notavailable
10165,13860,20466477771,,"Calle Las Gardenias Mz. D, Lote 14, Urb. Las Praderas de Lurín",Lurín,Lima ,Lima,146,Mediana Empresa/Medium Size Company
10166,13861,20268646079,,"Calle Santa Isabel 156, Urb. Aurora",Ate,Lima ,Lima,28,Mediana Empresa/Medium Size Company
10167,13862,20538711862,,"Jr. Camaná 851, Piso 6",Cercado,Lima,Lima,0,Pequeña Empresa/Small Size Company
10168,13863,20372227045,PROVIPAN S.A.C.,"Av. Guardia Peruana 1483, Urb. La Campiña",Chorrillos,Lima,Lima,27,Mediana Empresa/Medium Size Company
10169,13864,20600783263,,"Calle Antofagasta 2158, Of. 202-B, Urb. Perú",San Martín de Porres,Lima ,Lima,0,Mediana Empresa/Medium Size Company
10170,13865,20308700349,LETRECORP,"Av.Javier Prado Este 488, Of. 202",San Isidro,Lima,Lima,104,Mediana Empresa/Medium Size Company
10171,13866,20507839283,,Av. La Arboleda 431,Ate,Lima,Lima,36,Mediana Empresa/Medium Size Company
10172,13867,20331955249,,Carretera Central 221,Santa Anita,Lima,Lima,48,Mediana Empresa/Medium Size Company
10173,13868,20252575457,LEVEL 3,"Av. Manuel Olguín 395, Urb. Los Granados",Santiago de Surco,Lima,Lima,113,Gran Empresa/Big Company
10174,13869,20600018061,,"Av. Arenales 1323, Urb. Santa Beatriz",Cercado,Lima,Lima,0,Mediana Empresa/Medium Size Company
10175,13870,20101073344,,Calle Germán Schereiber 278,San Isidro,Lima ,Lima,0,Pequeña Empresa/Small Size Company
10176,13871,20472564618,,"Av. José Larco 1301, Of. 1402",Miraflores,Lima ,Lima,9,Mediana Empresa/Medium Size Company
10177,13872,20513689757,,"Mz. A-12, Lote 1 Urb. José Olaya Balandra",Lurín,Lima,Lima,0,Pequeña Empresa/Small Size Company
10178,13873,20375755344,,"Av. República de Colombia 791, Piso 12",San Isidro,Lima,Lima,132,Gran Empresa/Big Company
10179,13874,20457052775,,"Mz. B-8, Lote 15, Urb. Santa Paula II",Puente Piedra,Lima,Lima,0,No disponible/Notavailable
10180,13875,20502334302,,"Av. Alameda del Corregidor 1297, Urb. Sirius",La Molina,Lima,Lima,0,No disponible/Notavailable
10181,13876,20536110365,JOINSIDE,"Calle Las Tiendas 237, Of. 301. Piso 4",Surquillo,Lima,Lima,0,No disponible/Notavailable
10182,13877,20563304708,,"Av. Armendariz 480, Piso 2",Miraflores,Lima,Lima,0,Mediana Empresa/Medium Size Company
10183,13878,20523751698,,"Jr. Antonio Bazo 1074, Of. 701, Urb. San Pablo",La Victoria,Lima,Lima,0,Pequeña Empresa/Small Size Company
10184,13879,20523885465,,"Av. Santa Cruz 873, Of. 202",Miraflores,Lima,Lima,0,No disponible/Notavailable
